open_time,open,high,low,close,volume,close_time,quote_volume,num_trades,taker_buy_base_vol,taker_buy_quote_vol,ignore
1760442300000000,3970.3,3984.6,3968.25,3971.85,6506.1831,1760443199999999,25861889.846503,69009,3514.8877,13975957.593466,0
1760443200000000,3971.85,3973.97,3951.85,3968.97,6864.2575,1760444099999999,27204856.75881,117346,3875.2237,15359778.56683,0
1760444100000000,3968.97,3969.54,3938.16,3950.4,5708.9466,1760444999999999,22553181.773848,97180,2542.9359,10044108.209959,0
1760445000000000,3950.39,3953.87,3931.5,3942.4,7817.011,1760445899999999,30802322.639679,131967,4436.2513,17481327.124485,0
1760445900000000,3942.4,3963.8,3933.33,3941.1,6613.8664,1760446799999999,26094709.946053,96629,2717.0417,10720475.870101,0
1760446800000000,3941.1,3948.49,3924.21,3940.68,6002.2811,1760447699999999,23622505.177321,83111,3146.9556,12387591.101942,0
1760447700000000,3940.68,3954.56,3924.43,3948.01,6967.3564,1760448599999999,27423644.369863,120545,3350.3404,13192694.32882,0
1760448600000000,3948.0,3968.87,3893.77,3938.49,23678.5425,1760449499999999,92995460.634988,299247,11272.7715,44287628.615748,0
1760449500000000,3938.47,3976.24,3928.0,3956.03,38875.9356,1760450399999999,153812328.320286,235241,27070.1796,107103253.462407,0
1760450400000000,3956.02,3983.94,3940.13,3983.79,39059.2223,1760451299999999,154434852.628706,215218,30337.1638,119957246.54857,0
1760451300000000,3983.79,4017.56,3968.37,3977.95,25748.9379,1760452199999999,102877622.165652,217885,14848.3776,59343813.388205,0
1760452200000000,3977.94,3999.86,3952.86,3988.51,12642.5172,1760453099999999,50236572.351581,168238,7155.5553,28440200.109142,0
1760453100000000,3988.52,4011.29,3967.44,3970.14,12739.9564,1760453999999999,50807226.508279,159552,5754.7762,22959275.42938,0
1760454000000000,3970.13,3994.95,3960.24,3963.77,10662.046,1760454899999999,42380025.535504,144112,5292.5014,21033507.939589,0
1760454900000000,3963.77,3989.12,3950.15,3980.47,7764.694,1760455799999999,30817686.737628,136442,4034.4893,16015456.982165,0
1760455800000000,3980.48,4031.72,3978.56,4023.01,16973.8168,1760456699999999,67985926.626783,181970,8547.2072,34225265.897498,0
1760456700000000,4023.02,4088.79,4023.02,4085.4,24040.2867,1760457599999999,97543689.782122,207074,12700.853,51536188.843267,0
1760457600000000,4085.41,4101.81,4057.59,4091.56,13946.6183,1760458499999999,56859326.699282,157483,7205.0734,29378337.979123,0
1760458500000000,4091.56,4164.62,4087.89,4132.32,32121.6089,1760459399999999,132631559.821135,266616,17379.6226,71747486.318601,0
1760459400000000,4132.33,4144.18,4109.35,4129.59,15184.1652,1760460299999999,62642804.824448,146204,8525.9421,35177932.702493,0
1760460300000000,4129.59,4149.1,4078.43,4096.23,17562.3871,1760461199999999,72248340.663951,171846,8385.9863,34503099.282801,0
1760461200000000,4096.23,4136.79,4048.49,4125.19,23112.3377,1760462099999999,94693073.542825,225158,13178.3354,54026326.716251,0
1760462100000000,4125.18,4141.22,4111.21,4122.65,9709.8117,1760462999999999,40072564.755779,130038,4889.373,20183805.791998,0
1760463000000000,4122.65,4133.69,4091.43,4112.37,11718.3436,1760463899999999,48149286.755965,134521,5283.662,21710536.526702,0
1760463900000000,4112.37,4123.0,4099.53,4101.42,7315.1976,1760464799999999,30070310.52091,97067,3205.5875,13179524.279612,0
1760464800000000,4101.42,4133.88,4097.06,4129.1,8466.3426,1760465699999999,34836471.175483,116129,4441.3095,18278800.48613,0
1760465700000000,4129.09,4137.92,4112.51,4115.68,6744.1844,1760466599999999,27821889.766045,114247,3125.5371,12895567.891792,0
1760466600000000,4115.67,4127.79,4093.91,4103.79,11144.1508,1760467499999999,45784419.785519,115579,6789.923,27897117.989536,0
1760467500000000,4103.79,4130.0,4100.97,4120.91,11255.1785,1760468399999999,46314835.970921,100813,6177.7415,25423870.339001,0
1760468400000000,4120.9,4130.79,4114.77,4129.16,5125.5514,1760469299999999,21138275.173841,60764,3323.0647,13703868.698377,0
1760469300000000,4129.16,4148.49,4127.04,4133.19,7259.3372,1760470199999999,30034948.406062,83757,3374.8855,13964246.170059,0
1760470200000000,4133.19,4135.0,4049.16,4057.44,24655.4074,1760471099999999,100805495.324008,212749,11739.8658,47999072.250563,0
1760471100000000,4057.45,4122.75,4051.33,4102.94,17512.9487,1760471999999999,71674951.33808,196827,9964.1706,40806183.978837,0
1760472000000000,4102.96,4115.18,4072.69,4087.64,10655.4759,1760472899999999,43631595.87542,110523,4309.9762,17666407.222088,0
1760472900000000,4087.64,4115.97,4085.4,4107.2,6959.4207,1760473799999999,28574613.361182,64411,4683.5518,19231094.877456,0
1760473800000000,4107.2,4126.0,4098.76,4122.38,4452.4285,1760474699999999,18315450.898766,59966,2502.7625,10295875.409127,0
1760474700000000,4122.38,4124.99,4113.0,4118.0,2465.5592,1760475599999999,10154797.595622,48947,1029.5282,4240322.240543,0
1760475600000000,4118.0,4122.63,4092.73,4097.03,2743.785,1760476499999999,11279050.80362,39634,779.4575,3206718.843868,0
1760476500000000,4097.03,4115.0,4097.02,4110.6,1733.8378,1760477399999999,7120157.180888,44447,854.2943,3508044.325111,0
1760477400000000,4110.6,4119.14,4099.51,4110.33,1823.3791,1760478299999999,7492476.416252,31319,1066.104,4381545.054198,0
