open_time,open,high,low,close,volume,close_time,quote_volume,num_trades,taker_buy_base_vol,taker_buy_quote_vol,ignore
1769617800000000,0.1251,0.1252,0.12416,0.12435,5851386.0,1769618699999999,729982.05622,10687,2817482.0,351500.31164,0
1769618700000000,0.12435,0.12487,0.12435,0.1245,8784499.0,1769619599999999,1094252.05776,8522,2941445.0,366570.75165,0
1769619600000000,0.12449,0.1249,0.12447,0.12472,6908731.0,1769620499999999,861583.47269,7293,5417739.0,675692.71737,0
1769620500000000,0.12471,0.12474,0.12431,0.12442,4759124.0,1769621399999999,592254.44025,7535,3707451.0,461313.96405,0
1769621400000000,0.12442,0.1251,0.12372,0.12487,11254483.0,1769622299999999,1398528.40377,14762,6993645.0,869333.67809,0
1769622300000000,0.12486,0.12584,0.12482,0.12526,11045113.0,1769623199999999,1383614.34471,12514,6466509.0,809863.4481,0
1769623200000000,0.12525,0.12525,0.12451,0.12481,11778748.0,1769624099999999,1469865.49509,12177,4894063.0,610714.31507,0
1769624100000000,0.12481,0.12511,0.12452,0.12455,9343166.0,1769624999999999,1167355.18213,8230,5782285.0,722848.3249,0
1769625000000000,0.12456,0.12479,0.12449,0.12463,1795634.0,1769625899999999,223771.2236,5541,898158.0,111931.19716,0
1769625900000000,0.12462,0.12482,0.12428,0.12475,4233570.0,1769626799999999,527090.64374,5800,1878764.0,233921.61058,0
1769626800000000,0.12474,0.12532,0.12446,0.12497,10968774.0,1769627699999999,1370157.88191,27334,5215174.0,651377.45231,0
1769627700000000,0.12497,0.12529,0.12482,0.12488,7511231.0,1769628599999999,939510.26377,11057,4124781.0,515998.19088,0
1769628600000000,0.12488,0.12526,0.12452,0.12469,10837663.0,1769629499999999,1352548.57148,24068,5431229.0,677858.16409,0
1769629500000000,0.1247,0.12565,0.12465,0.12528,6658887.0,1769630399999999,834759.4078,12700,3566275.0,447077.99773,0
1769630400000000,0.12527,0.12574,0.12521,0.12552,5477097.0,1769631299999999,687360.76261,11111,3185132.0,399566.93791,0
1769631300000000,0.12552,0.12632,0.12527,0.12599,14450894.0,1769632199999999,1818155.5041,12490,9168484.0,1153280.81503,0
1769632200000000,0.126,0.12604,0.12519,0.12522,8291012.0,1769633099999999,1040490.48647,10227,3359669.0,421622.92974,0
1769633100000000,0.12523,0.12526,0.12487,0.12495,4509126.0,1769633999999999,564105.33109,6819,1942223.0,242958.23089,0
1769634000000000,0.12495,0.12546,0.12427,0.12527,14530695.0,1769634899999999,1814743.12501,19548,7303408.0,911831.57774,0
1769634900000000,0.12526,0.12555,0.12507,0.12513,6258574.0,1769635799999999,784323.68469,6544,3167618.0,396936.32059,0
1769635800000000,0.12513,0.12546,0.1248,0.12538,6648138.0,1769636699999999,831506.29019,6021,3962265.0,495448.18818,0
1769636700000000,0.12538,0.12574,0.12525,0.1255,1484623.0,1769637599999999,186410.06208,5065,748550.0,93989.76806,0
1769637600000000,0.12551,0.12555,0.12499,0.12506,2487080.0,1769638499999999,311610.37159,5326,1232575.0,154452.91354,0
1769638500000000,0.12507,0.12531,0.12474,0.12528,2511211.0,1769639399999999,313874.58068,4338,1200091.0,150000.04974,0
1769639400000000,0.12528,0.12565,0.12526,0.12542,2886555.0,1769640299999999,362122.78119,4268,1555689.0,195104.87262,0
1769640300000000,0.12542,0.12569,0.12542,0.12548,1693260.0,1769641199999999,212563.67278,2747,580656.0,72887.02375,0
1769641200000000,0.12549,0.12568,0.12515,0.12527,4336478.0,1769642099999999,543885.07962,8608,1483955.0,186090.44251,0
1769642100000000,0.12526,0.12559,0.12508,0.12515,2291964.0,1769642999999999,287340.92473,5270,1054633.0,132215.81029,0
1769643000000000,0.12515,0.12524,0.12474,0.1252,8336058.0,1769643899999999,1042008.42822,5633,2163136.0,270308.22711,0
1769643900000000,0.12519,0.12537,0.12493,0.125,4019024.0,1769644799999999,502828.08274,3894,1769850.0,221458.14392,0
1769644800000000,0.125,0.12525,0.12463,0.12463,4783842.0,1769645699999999,597687.45332,6509,1774137.0,221622.00482,0
1769645700000000,0.12463,0.12469,0.12441,0.12445,4273687.0,1769646599999999,532385.91939,5995,1793196.0,223355.24503,0
1769646600000000,0.12446,0.1246,0.12421,0.12422,4533098.0,1769647499999999,563787.99376,6829,1260332.0,156759.18197,0
1769647500000000,0.12422,0.12457,0.12402,0.12456,8196157.0,1769648399999999,1018307.06133,6823,2046007.0,254374.54105,0
1769648400000000,0.12456,0.12477,0.12441,0.12447,2727271.0,1769649299999999,339724.49599,5815,1281191.0,159593.14803,0
1769649300000000,0.12447,0.12447,0.12337,0.12394,9275063.0,1769650199999999,1148231.14604,11811,2878995.0,356274.93711,0
1769650200000000,0.12394,0.12403,0.12361,0.1238,6020170.0,1769651099999999,745498.77322,8112,2910641.0,360363.36297,0
1769651100000000,0.1238,0.12396,0.12311,0.12338,8420842.0,1769651999999999,1038710.19261,9519,2414745.0,298033.20564,0
1769652000000000,0.12339,0.12383,0.12321,0.12375,11441278.0,1769652899999999,1412951.22612,9484,5598630.0,691999.07097,0
